anio,provincia,sexo,grupo_edad,poblacion
2020,chimborazo,Mujer,45-64,48107
2020,chimborazo,Mujer,65+,29579
2020,cotopaxi,Hombre,0-14,66616
2020,cotopaxi,Hombre,15-19,23615
2020,cotopaxi,Hombre,20-29,45164
2020,cotopaxi,Hombre,30-44,50351
2020,cotopaxi,Hombre,45-64,32383
2020,cotopaxi,Hombre,65+,16072
2020,cotopaxi,Mujer,0-14,62985
2020,cotopaxi,Mujer,15-19,22164
2020,cotopaxi,Mujer,20-29,42936
2020,cotopaxi,Mujer,30-44,50748
2020,cotopaxi,Mujer,45-64,39526
2020,cotopaxi,Mujer,65+,19068
2020,el_oro,Hombre,0-14,97767
2020,el_oro,Hombre,15-19,33143
2020,el_oro,Hombre,20-29,67469
2020,el_oro,Hombre,30-44,82649
2020,el_oro,Hombre,45-64,64427
2020,el_oro,Hombre,65+,23669
2020,el_oro,Mujer,0-14,92602
2020,el_oro,Mujer,15-19,30888
2020,el_oro,Mujer,20-29,62861
2020,el_oro,Mujer,30-44,80728
2020,el_oro,Mujer,45-64,70517
2020,el_oro,Mujer,65+,28055
2020,esmeraldas,Hombre,0-14,95620
2020,esmeraldas,Hombre,15-19,29149
2020,esmeraldas,Hombre,20-29,50342
2020,esmeraldas,Hombre,30-44,58007
2020,esmeraldas,Hombre,45-64,43702
2020,esmeraldas,Hombre,65+,19583
2020,esmeraldas,Mujer,0-14,92060
2020,esmeraldas,Mujer,15-19,28549
2020,esmeraldas,Mujer,20-29,50832
2020,esmeraldas,Mujer,30-44,58285
2020,esmeraldas,Mujer,45-64,45882
2020,esmeraldas,Mujer,65+,18898
2020,galapagos,Hombre,0-14,3478
2020,galapagos,Hombre,15-19,1187
2020,galapagos,Hombre,20-29,2212
2020,galapagos,Hombre,30-44,3927
2020,galapagos,Hombre,45-64,2810
2020,galapagos,Hombre,65+,1150
2020,galapagos,Mujer,0-14,3431
2020,galapagos,Mujer,15-19,1261
2020,galapagos,Mujer,20-29,2319
2020,galapagos,Mujer,30-44,3564
2020,galapagos,Mujer,45-64,2684
2020,galapagos,Mujer,65+,819
2020,guayas,Hombre,0-14,641870
2020,guayas,Hombre,15-19,211998
2020,guayas,Hombre,20-29,400843
2020,guayas,Hombre,30-44,480786
2020,guayas,Hombre,45-64,424282
2020,guayas,Hombre,65+,150058
2020,guayas,Mujer,0-14,611697
2020,guayas,Mujer,15-19,201506
2020,guayas,Mujer,20-29,383707
2020,guayas,Mujer,30-44,471017
2020,guayas,Mujer,45-64,430416
2020,guayas,Mujer,65+,160319
2020,imbabura,Hombre,0-14,65476
2020,imbabura,Hombre,15-19,22930
2020,imbabura,Hombre,20-29,44413
2020,imbabura,Hombre,30-44,48394
2020,imbabura,Hombre,45-64,35990
2020,imbabura,Hombre,65+,17829
